County Name	Circuit Number	Court Address	Street Address	City	ZIP Code	Court Phone #	Special Requirement?	Web Link	Website	NC Resource?	What Publication?	Publication URL	Finger Printing Location Name	Nearby?	FP Address	FP Street Address	FP City	FP ZIP	FP Web Link		Vetted?
Otsego	46th	800 Livingston Blvd #1d, Gaylord, MI 49735	800 Livingston Blvd #1d	Gaylord	49735	(989) 731-0204		LINK	https://www.otsegocountymi.gov/DocumentCenter/View/1313/Name-Change-Packet-PDF	Yes	Gaylord Herald Times	https://www.facebook.com/ghtmi/	Otsego County Sheriff		124 S Court Ave, Gaylord, MI 49735	124 S Court Ave	Gaylord	49735	LINK	https://www.otsegocountymi.gov/362/Records-Division	
Ottawa	20th	12120 Fillmore St, West Olive, MI 49460	12120 Fillmore St	West Olive	49460	(616) 786-4108		LINK	https://www.miottawa.org/Departments/CountyClerk/CourtRecords/	Yes	Ottawa Legal News		Ottawa County Sheriff	Yes	12220 Fillmore St, West Olive, MI 49460	12220 Fillmore St	West Olive	49460	LINK	https://www.miottawa.org/Sheriff/gun-cpl.htm#appointments	
Presque Isle	53rd	151 E Huron Ave, Rogers City, MI 49779	151 E Huron Ave	Rogers City	49779	(989) 734-2214		LINK	https://presqueislecounty.org/53rd-family-division/		Presque Isle Advance	https://piadvance.com/contact/	Presque Isle County Sheriff	Yes	267 N 2nd St, Rogers City, MI 49779	267 N 2nd St	Rogers City	49779	LINK	http://www.presqueislesheriff.com/	
Roscommon	34th	500 Lake St, Roscommon, MI 48653	500 Lake St	Roscommon	48653	(989) 275-1902		LINK	http://www.roscommoncounty.net/153/34th-Circuit-Court		The Houghton Lake Resorter	https://www.houghtonlakeresorter.com/contact-us/	Roscommon County Sheriff		111 S 2nd St, Roscommon, MI 48653	111 S 2nd St	Roscommon	48653	LINK	http://www.roscommoncounty.net/328/Frequently-Asked-Questions	
Saginaw	10th	111 S Michigan Ave, Saginaw, MI 48602	111 S Michigan Ave	Saginaw	48602	(989) 790-5544		LINK	https://www.saginawcounty.com/media/x1ne1bik/name-change-guidelines.pdf	Yes	M-Live	https://www.mlive.com/mlive_contacts/page/contact_home.html	Saginaw County Sheriff	Yes	618 Cass St, Saginaw, MI 48602	618 Cass St	Saginaw	48602	LINK	https://www.saginawcounty.com/courts-public-safety/sheriff/	
St. Clair	31st	201 McMorran Blvd # 1100, Port Huron, MI 48060	201 McMorran Blvd # 1100	Port Huron	48060	(810) 985-2200		LINK	https://www.stclaircounty.org//offices/prosecuting_attorney/Directions.aspx		Times Herald	https://www.thetimesherald.com/public-notices	St. Clair County Sheriff		1170 Michigan Rd, Port Huron, MI 48060	1170 Michigan Rd	Port Huron	48060	LINK	https://www.stclaircounty.org/offices/sheriff/service_bureau.aspx	
St. Joseph	45th	125 W Main St, Centreville, MI 49032	125 W Main St	Centreville	49032	(269) 467-5531		LINK	https://www.stjosephcountymi.org/government/courts-law-enforcement/county-clerk-45th-circuit-court-division/legal-name-change	Yes	Multiple Options		St. Joseph County Sheriff		650 E Main St, Centreville, MI 49032	650 E Main St	Centreville	49032	LINK	https://www.stjosephcountymi.org/government/courts-law-enforcement/county-clerk-45th-circuit-court-division/legal-name-change	
Sanilac	24th	60 W. Sanilac Ave., Sandusky, MI 48471	60 W. Sanilac Ave.	Sandusky	48471	810-648-3212	Copy of Birth Certificate to file	LINK	https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwifrIPsjon9AhWBnWoFHRaBCbwQFnoECBAQAQ&url=https%3A%2F%2Fwww.sanilaccounty.net%2FHandlers%2FFile.ashx%3FID%3D12004&usg=AOvVaw0611sDWMrHOnYKPe_cfQjh	Yes	Sanilac County News	https://sanilaccountynews.mihomepaper.com/contact-us/	Sanilac County Sheriff	Yes	65 N Elk St, Sandusky, MI 48471	65 N Elk St	Sandusky	48471	LINK	https://sanilacsheriff.org/fingerprinting	
Schoolcraft	11th	300 Walnut St # 104, Manistique, MI 49854	300 Walnut St # 104	Manistique	49854	(906) 341-3655		LINK	https://www.schoolcraftcounty.net/government/courts-of-schoolcraft-county/11th-judicial-court-judge		Pioneer Tribune	https://www.pioneertribune.com/contact-us/	Schoolcraft County Sheriff	Yes	300 Main St, Manistique, MI 49854	300 Main St	Manistique	49854	LINK	http://www.schoolcraftcounty.net/government/elected-officials/sheriff	
Shiawassee	35th	208 N Shiawassee St, Corunna, MI 48817	208 N Shiawassee St	Corunna	48817	(989) 743-2239		LINK	https://www.shiawassee.net/Probate-Court/		The Argus Press	https://www.argus-press.com/site/contact.html	Shiawassee County Sheriff	Yes	201 E McArthur St, Corunna, MI 48817	201 E McArthur St	Corunna	48817	LINK	https://www.shiawassee.net/Sheriff/FINGER-PRINTS.aspx	
Tuscola	54th	440 N State St #1, Caro, MI 48723	440 N State St #1	Caro	48723	(989) 673-3330		LINK	https://www.tuscolacounty.org/forms/	Yes	The Advertiser	https://tuscolatoday.com/contact-us/	Tuscola County Sheriff	Yes	420 Court St #1, Caro, MI 48723	420 Court St #1	Caro	48723	LINK	https://www.tuscolacounty.org/sheriff/	
Van Buren	36th	212 E Paw Paw St # 240, Paw Paw, MI 49079	212 E Paw Paw St # 240	Paw Paw	49079	(269) 657-8200	Copy of Birth Certificate to file	LINK	https://www.vanburencountymi.gov/DocumentCenter/View/2085/Name-Change-for-an-Adult-NC-case-type	Yes	Court gives form		Michigan State Police	Yes	43255 60th Ave, Paw Paw, MI 49079	43255 60th Ave	Paw Paw	49079	LINK	https://www.vanburencountymi.gov/DocumentCenter/View/2085/Name-Change-for-an-Adult-NC-case-type?bidId=	
Washtenaw	22nd	101 E Huron St, Ann Arbor, MI 48104	101 E Huron St	Ann Arbor	48104	(734) 222-3270		LINK	https://www.washtenaw.org/1152/Name-Change	Yes	Court gives form		Washtenaw County Sheriff		2201 Hogback Rd, Ann Arbor, MI 48105	2201 Hogback Rd	Ann Arbor	48105	LINK	https://www.washtenaw.org/1534/Fingerprinting-Information	
Wayne	3rd	2 Woodward Ave, Detroit, MI 48226	2 Woodward Ave	Detroit	48226	(313) 224-0157		LINK	https://www.3rdcc.org/forms	Yes	Detroit Legal News		Multiple Options								
Wexford	28th	437 E. Division St, Cadillac, MI 49601	437 E. Division St	Cadillac	49601	(231) 779-9450		LINK	https://wexfordcounty.org/?page_id=381	Yes	Cadillac News	https://www.cadillacnews.com/site/contact.html	Wexford County Sheriff		1015 Lincoln St, Cadillac, MI 49601	1015 Lincoln St	Cadillac	49601	LINK	http://wexfordsheriff.org/Information/Services	
